Dish ID,Total Mass (grams),Total Calories (kcal),Total Fat (grams),Total Carbs (grams),Total Protein (grams),Number of Ingredients,Ingredients
dish_1558629517,167.000000,263.219000,19.945000,16.405000,10.336000,3,almonds|cauliflower|tomatoes
dish_1558631825,112.000000,118.832000,2.688000,24.640000,3.472000,1,corn on the cob
dish_1558632198,26.000000,16.796000,0.884000,0.832000,1.586000,1,garden salad
dish_1558632799,19.000000,20.159000,0.456000,4.180000,0.589000,1,corn on the cob
dish_1558633158,85.000000,34.850000,0.170000,8.500000,0.765000,1,carrot
dish_1558633221,449.000000,176.879000,1.417000,42.901000,4.438000,5,apple|carrot|cauliflower|cherry tomatoes|corn on the cob
dish_1558635489,74.000000,78.514000,1.776000,16.280000,2.294000,1,corn on the cob
dish_1558635546,117.000000,60.840000,0.234000,16.380000,0.351000,1,apple
dish_1558635618,334.000000,220.254000,2.439000,49.700000,5.606000,4,apple|cauliflower|corn on the cob|white rice
dish_1558636582,410.000000,530.551000,35.919000,45.948000,18.895000,4,almonds|apple|cauliflower|cherry tomatoes
dish_1558636868,8.000000,46.248000,3.960000,1.816000,1.792000,1,almonds
dish_1558638896,126.000000,22.680000,0.252000,4.914000,1.134000,1,cherry tomatoes
dish_1558639089,28.000000,19.320000,0.056000,5.040000,0.196000,1,grapes
dish_1558639818,59.000000,20.060000,0.118000,4.720000,0.472000,1,cantaloupe
dish_1558640074,116.000000,60.320000,0.232000,16.240000,0.348000,1,apple
dish_1558640593,116.000000,60.320000,0.232000,16.240000,0.348000,1,apple
dish_1558640705,234.000000,96.760000,0.468000,24.737000,1.315000,3,apple|cantaloupe|cherry tomatoes
dish_1558640748,58.000000,14.500000,0.174000,2.900000,1.044000,1,cauliflower
dish_1558640882,95.000000,32.300000,0.190000,7.600000,0.760000,1,cantaloupe
dish_1558640979,169.000000,59.280000,0.359000,13.950000,1.615000,3,cantaloupe|carrot|cauliflower
dish_1558641164,154.000000,80.080000,0.308000,21.560000,0.462000,1,apple
dish_1558641211,8.000000,3.280000,0.016000,0.800000,0.072000,1,carrot
dish_1558641287,64.000000,11.520000,0.128000,2.496000,0.576000,1,cherry tomatoes
dish_1558641416,56.000000,59.416000,1.344000,12.320000,1.736000,1,corn on the cob
dish_1558641989,55.000000,13.750000,0.165000,2.750000,0.990000,1,cauliflower
dish_1558642458,92.000000,23.000000,0.276000,4.600000,1.656000,1,cauliflower
dish_1558642490,187.000000,61.950000,0.466000,14.100000,2.511000,2,carrot|cauliflower
dish_1558717604,142.000000,73.840000,0.284000,19.880000,0.426000,1,apple
dish_1558718009,76.000000,25.840000,0.152000,6.080000,0.608000,1,cantaloupe
dish_1558718974,73.000000,422.013000,36.135000,16.571000,16.352000,1,almonds
dish_1558719401,49.000000,51.989000,1.176000,10.780000,1.519000,1,corn on the cob
dish_1558720427,358.000000,204.970000,2.776000,47.360000,5.024000,4,apple|cantaloupe|cauliflower|corn on the cob
dish_1558721323,93.000000,31.620000,0.186000,7.440000,0.744000,1,cantaloupe
dish_1558721559,92.000000,37.720000,0.184000,9.200000,0.828000,1,carrot
dish_1558721587,90.000000,95.490000,2.160000,19.800000,2.790000,1,corn on the cob
dish_1558721669,97.000000,24.250000,0.291000,4.850000,1.746000,1,cauliflower
dish_1558721726,143.000000,74.360000,0.286000,20.020000,0.429000,1,apple
dish_1558721757,133.000000,768.873000,65.835000,30.191000,29.792000,1,almonds
dish_1558721904,143.000000,74.360000,0.286000,20.020000,0.429000,1,apple
dish_1558722103,368.000000,304.841000,16.072000,38.445000,9.517000,5,almonds|apple|cantaloupe|cauliflower|cherry tomatoes
dish_1558722125,86.000000,497.166000,42.570000,19.522000,19.264000,1,almonds
dish_1558722171,97.000000,24.250000,0.291000,4.850000,1.746000,1,cauliflower
dish_1558722665,60.000000,15.000000,0.180000,3.000000,1.080000,1,cauliflower
dish_1558722883,60.000000,15.000000,0.180000,3.000000,1.080000,1,cauliflower
dish_1558723015,76.000000,31.160000,0.152000,7.600000,0.684000,1,carrot
dish_1558723073,90.000000,16.200000,0.180000,3.510000,0.810000,1,cherry tomatoes
dish_1558723568,356.000000,179.619000,1.848000,42.960000,3.879000,5,apple|cantaloupe|carrot|cauliflower|corn on the cob
dish_1558723719,40.000000,231.240000,19.800000,9.080000,8.960000,1,almonds
dish_1558723742,264.000000,375.110000,22.269000,40.230000,13.325000,4,almonds|carrot|cauliflower|corn on the cob
dish_1558723960,52.000000,13.000000,0.156000,2.600000,0.936000,1,cauliflower
dish_1558724932,72.000000,416.232000,35.640000,16.344000,16.128000,1,almonds
dish_1558724959,426.000000,581.442000,36.466000,57.004000,21.298000,4,almonds|apple|brussels sprouts|carrot
dish_1558725049,100.000000,43.000000,0.300000,9.000000,3.400000,1,brussels sprouts
dish_1558725576,79.000000,19.750000,0.237000,3.950000,1.422000,1,cauliflower
dish_1558725621,223.000000,349.220000,25.269000,23.760000,15.818000,3,almonds|brussels sprouts|cauliflower
dish_1559060055,81.000000,26.730000,0.243000,6.480000,0.567000,1,strawberries
dish_1559061752,124.000000,192.820000,13.020000,1.488000,15.500000,1,eggs
dish_1559149688,181.000000,281.455000,19.005000,2.172000,22.625000,1,eggs
dish_1559157454,28.000000,34.564575,3.284461,1.127364,0.671958,9,arugula|blueberries|chard|mustard|olive oil|pepper|salt|vinegar|walnuts
dish_1559172356,176.000002,313.103907,15.885429,6.928989,32.684393,7,arugula|brown rice|olive oil|pepper|salmon|salt|thyme
dish_1559233102,124.000000,183.520000,13.640000,1.984000,12.400000,1,scrambled eggs
dish_1559233445,49.000000,24.500000,0.049000,6.370000,0.245000,1,pineapple
dish_1559235639,103.000000,33.990000,0.309000,8.240000,0.721000,1,strawberries
dish_1559235690,111.000000,172.605000,11.655000,1.332000,13.875000,1,eggs
dish_1559238993,108.000000,61.560000,0.324000,15.120000,0.756000,1,berries
dish_1559239369,276.000000,130.920000,0.612000,31.920000,3.068000,3,berries|orange|spinach (raw)
dish_1559239753,53.999999,26.545512,0.638884,5.326569,0.479778,4,carrot|olive oil|pepper|salt
dish_1559239985,203.000000,116.116000,0.203000,30.856000,0.812000,1,pears
dish_1559241099,382.000000,201.346761,0.934390,51.246649,2.417124,6,carrot|olive oil|orange|pears|pepper|salt
dish_1559242221,114.000000,659.034000,56.430000,25.878000,25.536000,1,almonds
dish_1559243704,203.000000,116.116000,0.203000,30.856000,0.812000,1,pears
dish_1559244598,51.000000,250.920000,12.750000,33.150000,2.601000,1,cookies
dish_1559245697,288.999999,163.716341,2.007221,36.953289,3.405009,6,carrot|garden salad|olive oil|pears|pepper|salt
dish_1559245801,107.000000,60.990000,0.321000,14.980000,0.749000,1,berries
dish_1559245848,127.000000,59.690000,0.127000,15.240000,1.143000,1,orange
dish_1559246053,494.000000,251.046000,0.822000,63.926000,3.730000,4,berries|cauliflower|orange|pears
dish_1559319826,79.000000,45.030000,0.237000,11.060000,0.553000,1,berries
dish_1559319860,13.000000,70.330000,5.460000,0.182000,4.810000,1,bacon
dish_1559320019,205.000000,196.820000,5.714000,30.732000,6.408000,4,bacon|berries|pineapple|sweet potato
dish_1559332822,408.000008,540.587253,28.622437,15.932930,51.690757,16,arugula|brown rice|chayote squash|cherry tomatoes|cucumbers|lettuce|lime|mixed greens|olive oil|onions|pepper|salmon|salt|thyme|vinegar|zucchini
dish_1559581198,152.000000,236.360000,15.960000,1.824000,19.000000,1,eggs
dish_1559581236,212.000000,296.926767,21.685365,4.042251,19.817259,11,cherry tomatoes|cucumbers|eggs|lettuce|lime|mixed greens|olive oil|onions|pepper|salt|vinegar
dish_1559585533,37.000000,12.950000,0.148000,2.590000,0.888000,1,broccoli
dish_1559593746,186.000003,156.962937,12.440333,9.556886,3.499168,13,arugula|blueberries|chard|kale|mustard|olive oil|pepper|pumpkin seeds|quinoa|salt|squash|vinegar|walnuts
dish_1559593794,380.000012,450.561429,25.549510,14.105441,40.378569,21,arugula|blueberries|chard|chicken thighs|eggplant|garlic|kale|lemon juice|mushroom|mustard|olive oil|pepper|pumpkin seeds|quinoa|salt|shallots|spinach (cooked)|squash|vinegar|walnuts|wine
dish_1559667994,213.000003,445.300008,25.460000,35.803001,18.396400,4,bagels|cream cheese|hash browns|scrambled eggs
dish_1559668272,239.000000,512.140000,36.080000,30.880000,17.314000,2,hash browns|scrambled eggs
dish_1559668314,300.000000,551.546000,38.154000,32.832000,21.035000,3,garden salad|hash browns|scrambled eggs
dish_1559674074,53.000000,140.980000,5.141000,17.490000,5.830000,1,pizza
dish_1559674781,203.000000,81.660000,0.229000,20.610000,1.067000,2,grapes|honeydew melons
dish_1559674866,303.000000,125.660000,2.329000,24.910000,4.267000,3,caesar salad|grapes|honeydew melons
dish_1559675234,120.000000,36.970000,0.271000,8.135000,2.075000,4,bell peppers|brussels sprouts|carrot|cherry tomatoes
dish_1559675268,144.000000,39.370000,0.271000,8.615000,2.315000,5,bell peppers|brussels sprouts|carrot|cherry tomatoes|cucumbers
dish_1559678330,150.000002,169.694122,16.186765,5.269608,3.199020,9,cucumbers|garlic|mustard|mustard greens|olive oil|salt|spinach (raw)|tomatoes|vinegar
dish_1559678651,122.000000,107.856663,9.327811,7.949951,10.966075,13,bell peppers|caesar salad|cilantro|fish|jalapenos|kale|ketchup|lime|olive oil|onions|salt|shallots|white rice
dish_1559751710,66.000000,37.620000,0.198000,9.240000,0.462000,1,berries
dish_1559838279,114.000000,103.700000,3.678000,14.952000,3.702000,2,bacon|berries
dish_1559841127,285.000000,339.543500,18.022000,24.039000,19.953000,5,blackberries|chicken apple sausage|scrambled eggs|sweet potato|yam
dish_1559841571,5.000000,18.800000,0.335000,3.650000,0.600000,1,cereal
dish_1559841781,43.000000,45.020000,0.411000,10.490000,0.866000,2,cereal|grapes
dish_1559841891,272.000000,163.962000,0.343000,43.332000,1.301000,2,grapes|pears
dish_1559842136,338.000000,460.083000,26.722000,51.561000,13.864000,4,almonds|broccoli|mandarin oranges|pears
dish_1559842374,137.000000,345.333000,26.518000,21.091000,13.040000,3,almonds|broccoli|mandarin oranges
dish_1559843030,77.000000,25.410000,0.231000,6.160000,0.539000,1,strawberries
dish_1559843185,161.000000,64.350000,0.514000,15.220000,1.707000,3,broccoli|mandarin oranges|strawberries
dish_1559843492,95.000000,31.710000,0.303000,7.420000,0.971000,2,broccoli|strawberries
dish_1559843715,334.000000,176.140000,0.542000,44.450000,2.551000,4,broccoli|pears|potatoes|strawberries
dish_1559844113,356.000000,312.955000,12.968000,49.255000,7.371000,4,almonds|mandarin oranges|pears|strawberries
dish_1559844323,161.000000,518.370000,39.762000,32.740000,18.487000,2,almonds|grapes
dish_1559844657,167.000000,122.110000,0.248000,29.200000,2.287000,2,grapes|potatoes
dish_1559844683,198.000000,132.960000,0.372000,31.370000,3.031000,3,broccoli|grapes|potatoes
dish_1559844928,86.000000,66.220000,0.086000,14.620000,1.720000,1,potatoes
dish_1559846073,85.000000,39.290000,0.287000,9.130000,1.192000,2,broccoli|mandarin oranges
dish_1559846504,233.000000,126.172000,0.329000,32.792000,1.572000,2,broccoli|pears
dish_1559848857,53.000000,28.090000,0.159000,6.890000,0.424000,1,mandarin oranges
dish_1559849497,340.000000,521.433000,30.552000,58.439000,15.014000,3,almonds|grapes|pears
dish_1559925083,81.000000,125.135500,4.271000,16.967000,4.623000,3,bacon|sweet potato|yam
dish_1560203424,138.000000,451.754000,22.272000,50.212000,14.588000,2,brownies|pepperoni pizza
dish_1560356523,92.000000,497.720000,38.640000,1.288000,34.040000,1,bacon
dish_1560360030,131.000000,193.880000,14.410000,2.096000,13.100000,1,scrambled eggs
dish_1560366389,38.000000,46.909071,4.457484,1.529994,0.911943,9,arugula|blueberries|chard|mustard|olive oil|pepper|salt|vinegar|walnuts
dish_1560366460,254.999999,330.740918,20.443513,9.966404,27.040802,21,arugula|asparagus|basil|blueberries|broccoli|brown rice|chard|cherry tomatoes|eggplant|garlic|lemon juice|mustard|olive oil|onions|parsley|pepper|pork|salt|shallots|vinegar|walnuts
dish_1560367193,317.000001,131.041972,6.488616,15.907617,12.104685,12,asparagus|cherry tomatoes|country rice|fish|garlic|green onions|honeydew melons|mushroom|olive oil|onions|salt|tofu
dish_1560367296,362.000002,184.383332,11.224782,18.360016,13.026852,21,arugula|asparagus|beets|carrot|cherry tomatoes|country rice|cucumbers|fish|garlic|green onions|honeydew melons|lettuce|mixed greens|mushroom|mustard|olive oil|onions|pumpkin seeds|salt|tofu|vinegar
dish_1560367733,387.999998,661.441202,26.763104,54.923660,46.178320,17,basil|broccoli|brown rice|cherry tomatoes|croutons|garlic|lemon juice|olive oil|onions|parsley|pepper|pork|potatoes|salt|shallots|vinegar|white rice
dish_1560368019,300.999999,436.965930,21.659853,49.962539,26.125687,11,asparagus|country rice|eggplant|fish|garlic|green onions|olive oil|onions|pizza|salt|spinach (raw)
dish_1560368464,274.999998,349.449927,18.062436,16.807096,29.051193,15,basil|broccoli|brown rice|cherry tomatoes|garlic|honeydew melons|lemon juice|olive oil|onions|parsley|pepper|pork|salt|shallots|vinegar
dish_1560368712,142.000001,146.875180,12.029318,8.361059,3.578753,10,arugula|asparagus|carrot|lettuce|mixed greens|mustard|olive oil|pumpkin seeds|salt|vinegar
dish_1560368738,225.000002,174.248902,13.005788,13.162039,4.392478,11,arugula|asparagus|carrot|eggplant|lettuce|mixed greens|mustard|olive oil|pumpkin seeds|salt|vinegar
dish_1560368815,442.000005,400.337650,33.127271,21.281318,11.468402,16,arugula|asparagus|blueberries|carrot|eggplant|garlic|lettuce|mixed greens|mustard|olive oil|pumpkin seeds|radishes|salt|spinach (raw)|tofu|vinegar
dish_1560368972,107.000001,196.840402,8.696035,13.621220,14.673440,15,basil|broccoli|brown rice|cherry tomatoes|garlic|lemon juice|olive oil|onions|parsley|pepper|pork|salt|shallots|vinegar|white rice
dish_1560368990,119.000001,211.921316,9.981676,14.391691,14.986164,21,arugula|basil|broccoli|brown rice|carrot|cherry tomatoes|garlic|lemon juice|lettuce|mixed greens|mustard|olive oil|onions|parsley|pepper|pork|pumpkin seeds|salt|shallots|vinegar|white rice
dish_1560369080,49.000001,55.050576,5.116934,2.069475,0.990234,8,blueberries|garlic|mustard|olive oil|radishes|salt|spinach (raw)|vinegar
dish_1560369102,121.000001,69.738576,5.188934,4.877475,2.574234,9,asparagus|blueberries|garlic|mustard|olive oil|radishes|salt|spinach (raw)|vinegar
dish_1560369122,183.000001,92.058576,5.250934,10.457475,2.884234,10,asparagus|blueberries|garlic|honeydew melons|mustard|olive oil|radishes|salt|spinach (raw)|vinegar
dish_1560370137,104.000002,89.644274,7.002890,5.694383,2.551919,10,arugula|asparagus|carrot|lettuce|mixed greens|mustard|olive oil|pumpkin seeds|salt|vinegar
dish_1560370833,99.000000,177.003000,5.913000,27.525000,4.287000,2,frozen yogurt|ice cream cones
dish_1560441247,17.000000,2.210000,0.034000,0.374000,0.255000,1,bok choy
dish_1560441464,50.000000,28.500000,0.150000,7.000000,0.350000,1,berries
dish_1560442258,185.000000,289.370000,16.401000,21.112000,15.089000,2,bacon|berries
dish_1560443607,706.000000,380.800000,1.439000,67.547000,26.071000,5,berries|egg whites|grapes|honeydew melons|pineapple
dish_1560444637,285.000000,509.321000,31.757000,25.588000,29.481000,4,bacon|scrambled eggs|strawberries|yam
dish_1560444701,170.000000,51.000000,0.340000,12.920000,1.020000,1,watermelon
dish_1560444914,166.000000,62.340000,0.242000,15.916000,0.906000,3,honeydew melons|pineapple|watermelon
dish_1560445069,243.000000,94.527000,0.243000,22.113000,1.215000,1,grapefruit juice
dish_1560453294,138.000001,115.954447,2.781752,5.698969,16.219699,15,basil|chicken|garlic|kimchi|lemon juice|olive oil|parsley|pepper|rosemary|salt|spinach (raw)|squash|thyme|wheat berry|zucchini
dish_1560453328,264.000002,340.108380,14.154275,10.659495,39.618752,18,arugula|basil|brown rice|chicken|garlic|kimchi|lemon juice|olive oil|parsley|pepper|rosemary|salmon|salt|spinach (raw)|squash|thyme|wheat berry|zucchini
dish_1560453356,408.000002,389.068380,15.162275,20.451495,40.626752,19,arugula|basil|brown rice|chicken|garlic|kimchi|lemon juice|olive oil|parsley|pepper|rosemary|salmon|salt|spinach (raw)|squash|thyme|tomatoes|wheat berry|zucchini
dish_1560454488,42.000002,48.244002,4.500726,1.893843,0.635490,9,carrot|cherry tomatoes|cucumbers|garlic|mixed greens|olive oil|parsley|salt|vinegar
dish_1560454970,55.000000,9.900000,0.110000,2.145000,0.495000,1,cherry tomatoes
dish_1560455224,244.000001,181.740848,6.249522,28.741323,5.392316,12,arugula|carrot|green beans|honeydew melons|lettuce|mixed greens|mustard|olive oil|pumpkin seeds|salt|vinegar|wild rice
dish_1560455263,360.000009,360.679453,11.476776,31.163730,34.337602,24,arugula|basil|carrot|chicken|garlic|green beans|honeydew melons|lemon juice|lettuce|mixed greens|mustard|olive oil|parsley|pepper|pumpkin seeds|rosemary|salt|spinach (raw)|squash|thyme|vinegar|wheat berry|wild rice|zucchini
dish_1560455343,41.000000,53.941674,4.908589,2.205774,1.081126,9,almonds|blueberries|carrot|mustard|olive oil|parsley|salt|spinach (raw)|vinegar
dish_1560455442,293.000001,457.578911,24.777534,49.607749,23.515823,22,almonds|arugula|blueberries|carrot|chard|chive|corn|corn on the cob|fish|garlic|jicama|lime|mustard|nopales|olive oil|parsley|pepper|pizza|salt|sour cream|spinach (raw)|vinegar
dish_1560526447,70.000003,88.592767,8.156130,3.411251,1.750025,13,almonds|blueberries|carrot|cucumbers|garlic|mustard|mustard greens|olive oil|parsley|salt|spinach (raw)|tomatoes|vinegar
dish_1560526490,170.000003,141.672767,8.344130,16.851251,2.338025,15,almonds|berries|blueberries|carrot|cucumbers|garlic|mustard|mustard greens|olive oil|parsley|pineapple|salt|spinach (raw)|tomatoes|vinegar
dish_1560526514,224.000003,183.252767,8.398130,26.031251,3.418025,16,almonds|berries|blueberries|carrot|cucumbers|garlic|mustard|mustard greens|olive oil|parsley|pineapple|potatoes|salt|spinach (raw)|tomatoes|vinegar
dish_1560527140,138.000002,276.665297,18.125912,13.435575,14.706438,11,bacon|cucumbers|garlic|mustard|mustard greens|olive oil|potatoes|salt|spinach (raw)|tomatoes|vinegar
dish_1560527950,77.000000,23.100000,0.154000,5.852000,0.462000,1,watermelon
dish_1560529804,51.000000,15.300000,0.102000,3.876000,0.306000,1,watermelon
dish_1560529825,117.000000,52.920000,0.300000,13.116000,0.768000,2,berries|watermelon
dish_1560529844,168.000000,91.680000,0.300000,22.296000,1.278000,3,berries|sweet potato|watermelon
dish_1560539340,227.999997,196.538340,19.818404,9.337586,22.851413,13,arugula|caesar salad|cilantro|fish|garlic|jalapenos|lemon juice|olive oil|onions|pepper|quinoa|salt|tomatillo
dish_1560539368,313.999992,238.814512,20.835884,17.820641,23.615504,14,arugula|caesar salad|carrot|cilantro|fish|garlic|jalapenos|lemon juice|olive oil|onions|pepper|quinoa|salt|tomatillo
dish_1560541680,77.000003,95.052580,9.032268,3.100251,1.847884,9,arugula|blueberries|chard|mustard|olive oil|pepper|salt|vinegar|walnuts
dish_1560541760,372.000006,465.583755,16.740324,13.392922,63.606738,19,arugula|blueberries|broccoli|cauliflower|chard|chicken|garlic|ginger|green beans|green onions|mustard|olive oil|pepper|salt|soy sauce|spinach (raw)|vinegar|walnuts|white rice
dish_1560543525,187.000000,83.430000,3.887000,10.716000,3.249000,3,caesar salad|olives|tomatoes
dish_1560798744,220.000000,357.152000,14.164000,39.889000,19.320000,3,broccoli|cheese pizza|tofu
dish_1560799368,53.000002,108.403078,6.012894,1.962151,10.820529,10,arugula|garlic|olive oil|onions|parsley|pork|rosemary|salt|white rice|zucchini
dish_1560799407,122.000007,220.901740,14.961291,10.166318,12.222573,16,arugula|carrot|cranberries|garlic|lemon juice|olive oil|onions|parsley|pork|raisins|rosemary|salt|spinach (raw)|sunflower seeds|white rice|zucchini
dish_1560799558,74.000000,196.840000,7.178000,24.420000,8.140000,1,pizza
dish_1560800951,167.999999,102.825641,4.309041,14.129096,4.287562,9,bulgur|cauliflower|chickpeas|kale|lemon juice|olive oil|parsley|pepper|salt
dish_1560801797,95.999999,25.655657,0.700594,4.108631,1.344873,4,cauliflower|olive oil|salt|squash
dish_1560802048,82.999998,47.213886,1.904628,4.996577,3.074060,7,caesar dressing|croutons|kale|olive oil|parmesan cheese|salt|squash
dish_1560802149,248.999994,365.517389,17.394940,10.470454,39.855087,20,arugula|caesar dressing|cherry tomatoes|chicken breast|croutons|garlic|kale|olive oil|onions|parmesan cheese|parsley|pork|rosemary|salt|spinach (raw)|squash|thyme|wheat berry|white rice|zucchini
dish_1560802853,117.999997,136.532201,3.307635,8.763569,16.906691,17,bulgur|cherry tomatoes|chicken breast|chickpeas|garlic|kale|lemon juice|olive oil|parmesan cheese|parsley|pepper|salt|spinach (raw)|squash|thyme|wheat berry|white rice
dish_1560874751,220.000000,379.992000,10.960000,58.687000,12.556000,5,bacon|bagels|berries|cream cheese|yam
dish_1560888849,106.999998,168.964124,5.855534,7.567453,20.427922,11,chicken|garlic|lemon juice|olive oil|parsley|roasted potatoes|salt|shallots|spinach (raw)|thyme|wheat berry
dish_1560889032,207.999993,246.868235,7.012973,10.744461,34.232983,12,carrot|chicken|garlic|lemon juice|olive oil|parsley|pepper|salt|shallots|spinach (raw)|thyme|wheat berry
dish_1560961012,70.999999,191.699997,5.680000,28.613000,6.617200,2,bagels|cream cheese
dish_1560961179,104.000000,153.920000,11.440000,1.664000,10.400000,1,scrambled eggs
dish_1560961202,153.000000,171.070000,11.636000,5.094000,11.576000,2,broccoli|scrambled eggs
dish_1560961261,218.000000,192.520000,11.831000,10.294000,12.031000,3,broccoli|scrambled eggs|strawberries
dish_1560973958,121.000000,145.313256,6.214186,20.729746,4.312271,10,arugula|lime|mustard|olive oil|orange|pecans|pepper|raisins|salt|wheat berry
dish_1560975491,86.000000,37.840000,1.806000,3.698000,2.752000,1,caesar salad
dish_1561060613,304.000001,323.673280,11.623276,30.939055,25.286836,19,bok choy|brown rice|brussels sprouts|cheese pizza|chili|cilantro|garlic|ginger|jalapenos|lemon juice|lime|olive oil|onions|pineapple|salmon|salt|shallots|spinach (raw)|tofu
dish_1561060976,265.999999,265.507264,11.454552,14.356572,28.171126,17,brown rice|brussels sprouts|chili|cilantro|garlic|ginger|jalapenos|lemon juice|lime|olive oil|onions|pepper|salmon|salt|shallots|spinach (raw)|tofu
dish_1561061630,149.999998,186.683732,11.299299,17.850639,6.371217,15,apple|arugula|bulgur|caesar dressing|cranberries|croutons|garlic|kale|lemon juice|mustard greens|olive oil|parmesan cheese|parsley|salt|shallots
dish_1561062586,89.000000,121.193925,3.318569,20.365364,2.566732,12,apple|arugula|bulgur|cranberries|garlic|lemon juice|mustard greens|olive oil|parsley|salt|shallots|white rice
dish_1561134128,141.000000,58.500000,0.342000,14.556000,0.906000,2,berries|watermelon
dish_1561134156,220.000000,118.540000,0.342000,28.776000,1.696000,3,berries|sweet potato|watermelon
dish_1561147997,133.000002,185.180035,8.629008,20.639936,7.060393,12,almonds|arugula|blueberries|carrot|chard|cheese pizza|mustard|olive oil|raspberries|salt|vinegar|zucchini
dish_1561392410,84.000000,187.296000,14.055000,4.452000,10.635000,2,broccoli|sausage
dish_1561392430,149.000000,208.746000,14.250000,9.652000,11.090000,3,broccoli|sausage|strawberries
dish_1561392570,186.999999,149.804930,9.080466,16.931467,2.590600,10,bell peppers|berries|broccoli|cucumbers|garlic|mustard|olive oil|radishes|salt|vinegar
dish_1561392593,324.999999,354.044930,24.260466,19.139467,16.390600,11,bell peppers|berries|broccoli|cucumbers|garlic|mustard|olive oil|radishes|salt|scrambled eggs|vinegar
dish_1561392734,198.000000,84.240000,0.488000,20.936000,1.280000,2,berries|watermelon
dish_1561393715,49.000000,17.150000,0.196000,3.430000,1.176000,1,broccoli
dish_1561404485,348.999996,511.373340,34.245196,19.275634,34.533291,14,beets|carrot|cauliflower|cherry tomatoes|cucumbers|garlic|lime|mixed greens|olive oil|pepper|salt|steak|vinegar|wheat berry
dish_1561405411,281.999999,332.063456,8.511058,25.675438,37.227946,19,arugula|broccoli|chicken|chickpeas|couscous|garlic|ginger|green beans|green onions|lemon juice|olive oil|parsley|pears|pepper|salt|soy sauce|spinach (raw)|vinegar|white rice
dish_1561405836,31.000000,82.429000,2.914000,10.385000,3.472000,1,cheese pizza
dish_1561405864,106.000001,197.121189,5.344729,12.694053,23.070552,13,broccoli|cheese pizza|chicken|garlic|ginger|green beans|green onions|olive oil|salt|soy sauce|spinach (raw)|vinegar|white rice
dish_1561406762,35.000000,17.205422,0.414091,3.452406,0.310967,4,carrot|olive oil|pepper|salt
dish_1561406817,243.000000,273.385422,0.959091,57.742406,6.795967,6,carrot|couscous|olive oil|pepper|salt|white rice
dish_1561407208,29.000000,44.347643,0.939882,0.892834,7.578107,12,broccoli|chicken|garlic|ginger|green beans|green onions|olive oil|salt|soy sauce|spinach (raw)|vinegar|white rice
dish_1561480391,113.000000,64.410000,0.339000,15.820000,0.791000,1,berries
dish_1561480460,277.000000,285.402000,14.575000,25.524000,14.547000,4,berries|pineapple|scrambled eggs|turkey bacon
dish_1561491121,28.000001,31.457468,2.923962,1.182557,0.565848,8,blueberries|garlic|mustard|olive oil|radishes|salt|spinach (raw)|vinegar
dish_1561492182,171.000001,250.165689,7.306371,40.088070,6.884981,9,blueberries|fried rice|garlic|mustard|olive oil|radishes|salt|spinach (raw)|vinegar
dish_1561492519,206.000000,271.320000,2.954000,52.378000,11.528000,2,banana with peel|wheat bread
dish_1561492665,92.999999,81.950654,8.595008,4.689008,10.342231,8,caesar salad|country rice|fish|garlic|green onions|olive oil|onions|salt
dish_1561492703,133.999997,113.130581,9.258423,10.046018,11.278057,10,caesar salad|country rice|fish|fried rice|garlic|green onions|olive oil|onions|salt|squash
dish_1561574479,293.000001,363.613793,18.486539,25.268993,24.553908,18,arugula|beef|blueberries|bok choy|caesar salad|cauliflower|chard|cheese pizza|millet|mustard|olive oil|onions|pepper|salt|shallots|spinach (cooked)|vinegar|walnuts
dish_1561574623,152.000000,117.602787,4.010179,7.020421,13.903189,18,arugula|basil|butter|chicken|cream|eggplant|garlic|lemon juice|mushroom|olive oil|oregano|pepper|rosemary|salt|shallots|thyme|wheat berry|white wine
dish_1561575274,145.000003,305.180026,17.519949,4.303404,29.621891,9,beef|bok choy|millet|olive oil|onions|salt|shallots|spinach (cooked)|vinegar
dish_1561575300,199.000003,326.780026,17.627949,9.163404,30.701891,10,beef|bell peppers|bok choy|millet|olive oil|onions|salt|shallots|spinach (cooked)|vinegar
dish_1561575613,70.000000,86.411436,8.211153,2.818410,1.679895,9,arugula|blueberries|chard|mustard|olive oil|pepper|salt|vinegar|walnuts
dish_1561575908,40.000000,106.360000,3.760000,13.400000,4.480000,1,cheese pizza
dish_1561576257,134.000000,180.880000,10.321000,20.493000,2.411000,2,olives|roasted potatoes
dish_1561576618,188.000006,57.924410,2.318721,8.419776,1.749612,4,eggplant|olive oil|salt|squash
dish_1561576767,621.000012,408.472595,14.014635,34.219459,39.556111,27,arugula|basil|blueberries|butter|caesar salad|cauliflower|chard|chicken|cream|eggplant|garlic|lemon juice|mushroom|mustard|olive oil|oregano|pepper|pineapple|rosemary|salt|shallots|squash|thyme|vinegar|walnuts|wheat berry|white wine
dish_1561576916,98.000001,78.457689,6.535353,4.772040,1.684708,10,arugula|blueberries|chard|eggplant|mustard|olive oil|pepper|salt|vinegar|walnuts
dish_1561577549,49.000000,130.340000,4.753000,16.170000,5.390000,1,pizza
dish_1561577678,104.000001,218.887739,12.566032,3.086580,21.246046,9,beef|bok choy|millet|olive oil|onions|salt|shallots|spinach (cooked)|vinegar
